MRT = Magnetresonanztomographie;Verfahren der bildgebenden Diagnostik, das ohne die Anwendung von Röntgenstrahlung eine detaillierte Darstellung der Gewebeschichten im Körperinneren sowie eine Beurteilung krankhafter Veränderungen ermöglicht.
MR/PET;Kombination aus PET und MRT. Durch dieses neuartige Verfahren wird nicht nur die Untersuchungszeit reduziert, sondern auch eine Reduzierung der Strahlung erreicht. Bösartige Tumorherde oder Metastasen können mit dieser Technologie frühzeitig entdeckt, eindeutiger charakterisiert und ihre Lage zu den Organen sicherer zugeordnet werden.
Neural-Therapie;Verfahren aus dem Bereich der Regulationstherapie. Durch die Injektion eines Lokalanästhetikums in Organe, Muskeln oder Nervenfasern lassen sich Störungen des vegetativen Nervensystems positiv beeinflussen.
Onkologie;Wissenschaftszweig der Medizin, der sich mit der Vorsorge, Diagnostik, Therapie und der Nachsorge von Krebserkrankungen befasst.
Oxidativer Stress;(von griech.-lat. Oxygenium für Sauerstoff) bezeichnet die Stoffwechsellage, in der zwischen Oxidantien und Antioxidantien ein ständiges Ungleichgewicht zugunsten der Oxidation besteht. Dem daraus resultierende Mangel an Vitaminen und Spurenelementen kann mit dem von UNIFONTIS angebotenen Mikronährstoffverfahren bekämpft begegnet werden.
Pathogenese;beschreibt die Entstehung einer physischen oder psychischen Erkrankung oder den Verlauf eines krankhaften Prozesses bis hin zur Erkrankung.
PET = Positronen-Emissions-Tomographie;Verfahren der bildgebenden Diagnostik, bei der sich Stoffwechselvorgänge im Körper dreidimensional darstellen lassen.
PET/CT;Kombination aus PET und CT. Durch dieses neuartige Verfahren können selbst kleinste Krebsherde entdeckt werden, da sich die Bildinformationen des PET zum Stoffwechsel und des CT zur Struktur optimal ergänzen. Aufgrund dieser Vorteile spielt das PET/CT eine große Rolle in der modernen Krebsfrüherkennung und Krebsdiagnostik.
Q10;Das körpereigene Co-Enzym weist strukturelle Ähnlichkeiten zu den Vitaminen E und K auf und ist wesentlich an der Atmungskette des menschlichen Stoffwechsels beteiligt. Es reguliert die ausreichende Versorgung der Körperzellen mit Sauerstoff und Energie. In Kombination mit 13 Vitaminen, 25 Mineralstoffen und Spurenelementen, L-Carnitin und sekundären Pflanzenstoffen ist Q10 Teil des individuellen Mikronährstoffverfahrens.
Salizylsäure-Derivat;Entzündungshemmendes Medikament. Wichtigster Bestandteil der Diflunisal-Therapie.
siRNA-Therapie;Eine Art Gentherapie, bei welcher spezielle Mechanismen der Tumorzelle (Wachstum, Blutgefäßanlockung, Lymphgefäßanlockung, ....) gezielt innerhalb der Zelle unterbunden werden können. Zur Erstanwendung dieser Therapie beim Menschen hat Prof. Dr. med. Joachim Drevs eine Studie durchgeführt. Aktuelle Studien zur Anwendung der siRNA-Therapie bei Bauchspeicheldrüsenkrebs laufen derzeit in Herne und Freiburg. Prof. Drevs ist für die Überwachung dieser Studien zuständig.
Salutogenese;Wissenschaft von der Entstehung und Erhaltung der Gesundheit
Therapiesensivitätstest;Verfahren, das die Nebenwirkungen einer Chemotherapie für den Patienten so gering wie möglich hält. Dabei wird die Wirksamkeit von unterschiedlichen Zytostatika, Thyrosinkinaseinhibitoren  und Antiangiogenesefaktoren (Angiogenesefaktoren) oder pflanzlichen Präparaten gegenüber den Tumorzellen getestet. Die jeweiligen Befunde erlauben Vorhersagen über die Wirksamkeit verschiedener antitumoraler Therapien und bilden die Basis einer individualisierten Therapie (integrative Onkologie).
Thyrosinkinaseinhibitoren;Arzneistoffe aus der Gruppe der zielgerichteten Therapeutika. Werden zur Therapie bösartiger Tumore eingesetzt. Dabei werden Oberflächeneigenschaften der Tumorzelle als Zielstruktur verwendet.
UNIFONTIS;Praxis für integrative Onkologie (integrative Onkologie) unter der Leitung von Prof. Dr. med. Joachim Drevs. Gegründet wurde UNIFONTIS im Jahr 2011, seit 2012 befindet sich die Praxis mit 16 Mitarbeitern im GesundheitsZentrum Tübingen (GZT).
UKT ;Universitätsklinikum Tübingen: Das Universitätsklinikum Tübingen wurde im Jahr 1805 gegründet und hat sich seitdem als eines der führenden Zentren der deutschen Hochschulmedizin etabliert. Auf zwei Klinikarealen, in 17 Kliniken und 12 fachübergreifenden Zentren werden jährlich rund 67.000 stationäre und 330.000 ambulante Patienten behandelt.
Zytostatika:;Medikamente, die das Wachstum bösartiger Geschwülste hemmen oder gänzlich verhindern. Zytostatika werden aufgrund dieser Eigenschaft bei der Tumortherapie eingesetzt (Chemotherapie).
